sample_idx,video_id,condition,claim_id,claim_text,rule_claim_type,rule_support_source,rule_is_supported,generated_text,human_claim_type,human_support_source,human_is_supported,human_notes
2060,vJ4se76h4pg,full,1,Allow me to recommend 'Cuando Te Vaya' by DESPISTAOS.,metadata,metadata-supported,1,"Allow me to recommend 'Cuando Te Vaya' by DESPISTAOS. It's a track from their album 'Cuando Te Vaya'. It combines elements of indie rock, punk, and alternative with a pop influence. The song has a fast-paced and energetic sound with prominent drums, which could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
2819,clwWCMWqqzk,wo_prompt,2,The track features female vocals,audio,audio-supported,1,"In the music video for 'We R Who We R' by Ke$ha, you'll find a mix of pop, dance, and electronic genres. The track features female vocals and has a fast-paced and energetic vibe. It's a great choice for your video!",audio,audio-supported,1,agree with rule on audio claim
1240,Tqo1UOK1I44,wo_prompt,3,"falls under the genres of rock, indie",audio,audio-supported,1,"In order to recommend the most suitable background music for your video, I suggest you consider 'Sinceramente' by Los Pepes. It's a track from their album 'Sinceramente' and falls under the genres of rock, indie, and alternative. The song has a fast-paced and loud sound, which can add an energetic vibe to your video.",audio,audio-supported,1,agree with rule on audio claim
3605,Iyy9VDuS3oM,wo_prompt,1,I recommend 'O Tempo Passa' by ARTMATA.,metadata,metadata-supported,1,"I recommend 'O Tempo Passa' by ARTMATA. It's a track from their album 'O Tempo Passa'. The song combines elements of Hip-Hop, electronic, rock, and indie with a touch of jazz. It has a unique and experimental sound that could add an interesting touch to your video.",metadata,metadata-supported,1,agree: metadata-supported claim
2650,sucNsk45Bzg,wo_audio_all,6,dance elements that could be a fitting choice for your video.,general,general-supported,1,"I suggest checking out 'The Boss' by The Boss. It's a track from their album 'The Boss'. It combines elements of Hip-Hop, electronic, and dance with a fast-paced techno beat and a loud and energetic sound. It has a mix of electronic and dance elements that could be a fitting choice for your video.",general,general-supported,1,agree: generic/recommend statement
3563,O8k8XT6gLzI,wo_audio_all,5,It has a fast-paced,audio,audio-supported,0,"Allow me to recommend 'LOSTAGE' by LOSTAGE. It's a track from their album 'LOSTAGE'. The song combines elements of indie and alternative rock with electronic and experimental influences. It has a fast-paced and loud sound, which could be a fitting choice for your video.",audio,audio-supported,0,agree with rule on audio claim
3243,mgP4sPHu0mU,wo_video,2,"It's a track that combines elements of Hip-Hop, electronic",audio,audio-supported,1,"Certainly! I recommend 'Hip Hop' by ALL MIGHTY CREW. It's a track that combines elements of Hip-Hop, electronic, and synth. Although I don't have specific information about this track, it aligns with your preferences and could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
261,dLkm-Bpkgv4,wo_audio_feature_only,4,"experimental, which align with your preferences.",preference,preference-supported,1,"In that case, I would recommend 'Snow by Sun Heights' by Sun. It's a track with a heavier and more experimental sound. Although I don't have specific information about this track, it falls under the genres of rock, metal, and experimental, which align with your preferences.",preference,preference-supported,1,agree: preference claim with LTP present
1601,8_VrafS-ldU,wo_video,5,dance elements you're looking for.,prompt,prompt-supported,1,"Certainly! How about 'Ducking by Fadda Fox'? It's a track that combines electronic, dance, and pop elements with a touch of indie and rock influences. Although I don't have much information about this track, it seems to align well with the electronic and dance elements you're looking for.",prompt,prompt-supported,1,agree: prompt available
3563,O8k8XT6gLzI,wo_audio_feature_only,2,It's a track from their album 'LOSTAGE'.,metadata,metadata-supported,1,Allow me to recommend 'LOSTAGE' by LOSTAGE. It's a track from their album 'LOSTAGE'. The song combines elements of indie and alternative rock with a focus on the theme of lost love. It has a rock and punk vibe that could be a fitting choice for your video.,metadata,metadata-supported,1,agree: metadata-supported claim
512,k3DP1RijqII,wo_ltp,1,that that that that.,unknown,unsupported,0,? and. and? and. and. and. I? and. I is. I?? I is. that. I is. that. I? that. I is. that. I is. that. that. that. that. that. that. that that that that. that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that,unknown,unsupported,0,agree: property claim unsupported in erased condition
1311,CSvBwXlOQPY,wo_video,3,"Although I don't have much information about this specific track, it aligns with the hip-hop",unknown,unsupported,0,"Certainly! How about 'DREAM' by Mickey Factz? It's a track that combines hip-hop, electronic, and ambient elements. Although I don't have much information about this specific track, it aligns with the hip-hop and ambient vibes you're looking for.",unknown,unsupported,0,agree: property claim unsupported in erased condition
2116,i8bWAIOD5Mc,wo_prompt,4,It has a fast-paced beat,audio,audio-supported,1,"I recommend 'HotBoy' by YAMAMAS featuring Baby King. It's a track from their album 'HotBoy'. The song combines elements of Hip-Hop, electronic, dance, and pop genres. It has a fast-paced beat and synth sounds that could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
3129,TcfxyMRLVRg,wo_video,2,It's a track from her album 'I'm Not Sorry'.,metadata,metadata-supported,1,"Allow me to recommend 'I'm Not Sorry' by Michelle Chen. It's a track from her album 'I'm Not Sorry'. The song combines elements of pop, rock, and indie with female vocals. It has a folk influence as well, which could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
448,R_R2JC4Ekw0,wo_prompt,1,I recommend 'LA TOALLA' by ANAÍS vs THE BOYS MACHINE y BABY.,metadata,metadata-supported,1,I recommend 'LA TOALLA' by ANAÍS vs THE BOYS MACHINE y BABY. It's a dance track with electronic and pop influences. The song has a catchy beat and a vibrant sound that would be a great fit for your video.,metadata,metadata-supported,1,agree: metadata-supported claim
1689,SCJrvPr92u4,wo_video,2,It's a track from his album 'My Queen'.,metadata,metadata-supported,1,"Allow me to recommend 'My Queen' by YT Man. It's a track from his album 'My Queen'. It combines elements of pop, rock, and electronic with a focus on vocals and guitar. It could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
2216,GavrpKnU4Hc,wo_audio_all,3,"Although it doesn't have guitar elements, it can still provide a unique",audio,audio-supported,0,"In that case, I recommend 'Sincerity' by The Band. It's a track with a mix of rock, indie, pop, and blues genres. Although it doesn't have guitar elements, it can still provide a unique and diverse sound for your video. It's a great choice to consider for your video.",audio,audio-supported,0,agree with rule on audio claim
451,ggHIsQy7Db8,wo_audio_all,5,It features female vocalists,audio,audio-supported,0,"Allow me to recommend 'SAM' by Samantha J. It's a track from her album 'SAM'. It combines elements of pop, dance, and electronic with fast-paced beats that could be a fitting choice for your video. It features female vocalists and has a techno-inspired sound too.",audio,audio-supported,0,agree with rule on audio claim
1226,VBDoZ0Tu5CI,wo_video,1,I recommend 'Santaye' by Santaye.,metadata,metadata-supported,1,"I recommend 'Santaye' by Santaye. It's a pop track with electronic and dance elements. The song features a female vocalist and was released in 2013. It aligns well with the pop, dance, and electronic genres you're interested in.",metadata,metadata-supported,1,agree: metadata-supported claim
3514,6FE8jlwBGJs,full,4,"It has a guitar-driven sound with male vocals, which can add a touch of nostalgia",audio,audio-supported,1,"Certainly! I suggest 'One More Day' by Go With Me. It's a track from their album 'One More Day'. This song combines elements of classic rock, folk, and pop. It has a guitar-driven sound with male vocals, which can add a touch of nostalgia and melody to your video.",audio,audio-supported,1,agree with rule on audio claim
3381,X1QRMJq-h9U,wo_audio_all,1,"In that case, I would recommend 'I'm Not Your Girlfriend' by The Ting Tings.",metadata,metadata-supported,0,"In that case, I would recommend 'I'm Not Your Girlfriend' by The Ting Tings. This track is a rock and pop song with female vocalists. It has a catchy and energetic sound that would be perfect for your video. It's part of the album 'I'm Not Your Girlfriend' by The Ting Tings.",metadata,metadata-supported,0,agree with rule
2673,6I0Dv46ZgZE,wo_video,4,It's a great choice to add some intensity,general,general-supported,1,"In that case, I would recommend 'All The Small Things' by Blink-182. This track combines elements of rock, indie, and alternative genres, with a touch of metal influence. It's a great choice to add some intensity and energy to your video.",general,general-supported,1,agree: generic/recommend statement
3754,GI6_MCrDl6o,wo_prompt,1,"In order to recommend the most suitable background music for your video, I suggest using 'Sunshine' by Danny Avila.",metadata,metadata-supported,1,"In order to recommend the most suitable background music for your video, I suggest using 'Sunshine' by Danny Avila. This track falls under the dance, electronic, pop, and house genres, which align with the energetic and vibrant vibe you're looking for. It's a popular song that will add a catchy and upbeat element to your video.",metadata,metadata-supported,1,agree: metadata-supported claim
